ListSize,countSort_Ops,countSort_Time,heapSort_Ops,heapSort_Time,mapSort_Ops,mapSort_Time
41943,167763,0.000185,1477911,0.006894,8556373,0.006901
26025,104094,0.000157,871769,0.003831,5309101,0.004954
47956,191800,0.000198,1712367,0.008319,9783025,0.007938
32237,128936,0.000171,1104961,0.005411,6576349,0.006119
54948,219765,0.000227,1989093,0.009962,11209393,0.010231
99941,399725,0.000345,3835156,0.017658,20387965,0.019799
9781,39124,0.000094,293324,0.001270,1995325,0.001834
8078,32309,0.000080,236921,0.001139,1647913,0.001532
19549,78196,0.000129,634735,0.002965,3987997,0.003602
33627,134484,0.000167,1158120,0.005326,6859909,0.006220
25601,102398,0.000149,856252,0.004034,5222605,0.004559
97407,389610,0.000299,3730043,0.017396,19871029,0.019353
43937,175724,0.000206,1555636,0.007515,8963149,0.008291
59577,238296,0.000226,2173902,0.010439,12153709,0.010217
71710,286807,0.000290,2664621,0.012914,14628841,0.012095
50671,202663,0.000187,1820653,0.008960,10336885,0.009815
86340,345336,0.000291,3266768,0.015479,17613361,0.016666
21297,85182,0.000175,698488,0.003672,4344589,0.003599
92052,368175,0.000275,3504015,0.016349,18778609,0.017914
99506,397976,0.000352,3816781,0.018118,20299225,0.019596
49159,196615,0.000210,1761382,0.008246,10028437,0.009172
50330,201293,0.000212,1807192,0.008766,10267321,0.009920
31938,127743,0.000172,1093505,0.005188,6515353,0.005295
91171,364660,0.000286,3466912,0.016699,18598885,0.017784
82553,330173,0.000272,3110224,0.014598,16840813,0.015359
28468,113869,0.000197,962817,0.004630,5807473,0.005270
95069,380246,0.000318,3630015,0.016868,19394077,0.016985
36869,147458,0.000187,1281734,0.005935,7521277,0.006875
37307,149216,0.000233,1297273,0.006267,7610629,0.006369
96448,385768,0.000340,3689364,0.017550,19675393,0.018201
64837,259327,0.000262,2386140,0.011023,13226749,0.011849
95782,383089,0.000304,3660649,0.017394,19539529,0.018678
64686,258714,0.000233,2379835,0.011616,13195945,0.011890
48445,193765,0.000201,1732830,0.008236,9882781,0.008713
19574,78290,0.000132,635679,0.003018,3993097,0.003596
33412,133633,0.000166,1149579,0.005052,6816049,0.006118
61837,247324,0.000202,2264753,0.010940,12614749,0.011386
31893,127563,0.000177,1091919,0.005490,6506173,0.005838
63496,253957,0.000203,2332006,0.011298,12953185,0.011289
76110,304428,0.000241,2843374,0.013589,15526441,0.012829
46829,187307,0.000215,1668911,0.007877,9553117,0.009191
9370,37480,0.000092,279710,0.001567,1911481,0.001574
87699,350757,0.000304,3322244,0.015820,17890597,0.017516
86567,346253,0.000346,3276199,0.015814,17659669,0.015573
22863,91449,0.000149,756269,0.003706,4664053,0.004255
42158,168626,0.000200,1485097,0.007025,8600233,0.007799
72217,288847,0.000237,2684280,0.012702,14732269,0.013482
27167,108665,0.000159,915000,0.004344,5542069,0.005073
36946,147778,0.000184,1285100,0.005606,7536985,0.006569
73804,295171,0.000231,2750025,0.013041,15056017,0.013510
56674,226669,0.000222,2057761,0.009938,11561497,0.010040
12031,48121,0.000114,369426,0.001861,2454325,0.002035
43973,175880,0.000197,1556060,0.007858,8970493,0.007159
38664,154632,0.000211,1350165,0.006494,7887457,0.007068
60089,240332,0.000192,2195016,0.010256,12258157,0.011382
34049,136184,0.000170,1174009,0.005575,6945997,0.006367
4703,18812,0.000053,128667,0.000601,959413,0.000896
88507,354004,0.000292,3355812,0.015970,18055429,0.016516
70684,282697,0.000225,2622166,0.011910,14419537,0.013058
49091,196337,0.000218,1757833,0.008389,10014565,0.008077
46313,185231,0.000199,1648247,0.007963,9447853,0.008585
64535,258122,0.000228,2374015,0.011438,13165141,0.011159
84439,337741,0.000277,3187683,0.014766,17225557,0.016383
9357,37428,0.000106,279292,0.001507,1908829,0.001560
10244,40973,0.000100,308869,0.001536,2089777,0.001815
17332,69325,0.000124,554984,0.002730,3535729,0.002899
38873,155486,0.000194,1358255,0.006429,7930093,0.007040
75197,300743,0.000254,2806976,0.013545,15340189,0.013697
34464,137841,0.000179,1190231,0.005635,7030657,0.006462
48380,193514,0.000207,1730209,0.007999,9869521,0.009413
46871,187460,0.000190,1670324,0.007979,9561685,0.007729
